LAT,LON,PARAMETER,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
33.25,-122.75,DNR,              4.95,              5.16,              6.04,              7.08,              6.76,              6.10,              4.51,              4.95,              5.25,              5.31,              5.53,              4.92,              5.55
33.25,-122.75,KT,              0.56,              0.56,              0.59,              0.62,              0.60,              0.56,              0.48,              0.51,              0.55,              0.57,              0.59,              0.56,              0.56
33.25,-122.75,CLRSKY_SFC_SW_DWN,              3.85,              4.96,              6.41,              7.68,              8.49,              8.79,              8.55,              7.86,              6.74,              5.33,              4.11,              3.51,              6.36
33.25,-122.75,ALLSKY_TOA_SW_DWN,              5.38,              6.76,              8.52,             10.11,             11.14,             11.52,             11.28,             10.42,              9.03,              7.29,              5.72,              4.95,              8.51
33.25,-122.75,ALLSKY_SFC_SW_DWN,              3.00,              3.75,              4.98,              6.28,              6.64,              6.47,              5.48,              5.39,              4.91,              4.08,              3.36,              2.79,              4.76
33.25,-122.25,DNR,              4.95,              5.16,              6.04,              7.08,              6.76,              6.10,              4.51,              4.95,              5.25,              5.31,              5.53,              4.92,              5.55
33.25,-122.25,KT,              0.56,              0.56,              0.59,              0.62,              0.60,              0.56,              0.48,              0.51,              0.55,              0.57,              0.59,              0.56,              0.56
33.25,-122.25,CLRSKY_SFC_SW_DWN,              3.85,              4.96,              6.41,              7.68,              8.49,              8.79,              8.55,              7.86,              6.74,              5.33,              4.11,              3.51,              6.36
33.25,-122.25,ALLSKY_TOA_SW_DWN,              5.38,              6.76,              8.52,             10.11,             11.14,             11.52,             11.28,             10.42,              9.03,              7.29,              5.72,              4.95,              8.51
33.25,-122.25,ALLSKY_SFC_SW_DWN,              3.00,              3.75,              4.98,              6.28,              6.64,              6.47,              5.48,              5.39,              4.91,              4.08,              3.36,              2.79,              4.76
33.25,-121.75,DNR,              5.14,              5.42,              6.16,              7.27,              6.90,              6.10,              4.43,              4.71,              5.19,              5.29,              5.68,              5.16,              5.62
33.25,-121.75,KT,              0.57,              0.57,              0.60,              0.63,              0.60,              0.56,              0.47,              0.50,              0.55,              0.57,              0.60,              0.58,              0.57
33.25,-121.75,CLRSKY_SFC_SW_DWN,              3.86,              4.98,              6.43,              7.72,              8.54,              8.84,              8.57,              7.88,              6.74,              5.34,              4.12,              3.51,              6.38
33.25,-121.75,ALLSKY_TOA_SW_DWN,              5.38,              6.76,              8.52,             10.11,             11.14,             11.52,             11.28,             10.42,              9.03,              7.29,              5.72,              4.95,              8.51
33.25,-121.75,ALLSKY_SFC_SW_DWN,              3.06,              3.85,              5.03,              6.37,              6.71,              6.47,              5.43,              5.26,              4.88,              4.07,              3.41,              2.86,              4.78
